ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Fish and Wildlife|Sacramento County|2/5/2024|4145.0|7926.0
ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Toxic Substances Control|Orange County|2/5/2024|4145.0|7926.0
FISH AND WILDLIFE TECHNICIAN|Limited Term Fulltime|Department of Fish and Wildlife|San Joaquin County|2/5/2024|3770.0|4898.0
FISH AND WILDLIFE TECHNICIAN|Limited Term Fulltime|Department of Fish and Wildlife|Solano County|2/5/2024|3770.0|4898.0
ASSOCIATE ACCOUNTING ANALYST|Permanent Fulltime|State Controller's Office|Sacramento County|2/5/2024|5967.0|7474.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|State Controller's Office|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE HYDROELECTRIC POWER UTILITY ENGINEER|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|9245.0|11566.0
CALTRANS HEAVY EQUIPMENT MECHANIC|Permanent Fulltime|Department of Transportation|Los Angeles County|2/5/2024|5445.0|6276.0
ELECTRICAL ENGINEER|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|6175.0|8848.0
ENGINEER, WATER RESOURCES|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|6175.0|11567.0
HYDROELECTRIC PLANT ELECTRICIAN I|Permanent Fulltime|Department of Water Resources|Butte County|2/5/2024|8128.0|10075.0
INFORMATION TECHNOLOGY ASSOCIATE|Permanent Fulltime|State Controller's Office|Sacramento County|2/5/2024|4651.0|8238.0
INFORMATION TECHNOLOGY SPECIALIST I|Permanent Fulltime|State Controller's Office|Sacramento County|2/5/2024|6139.0|9932.0
INFORMATION TECHNOLOGY SPECIALIST I|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|6139.0|9932.0
PROGRAM TECHNICIAN III|Permanent Fulltime|Department of Justice|Sacramento County|2/5/2024|4081.0|5114.0
SENIOR ENGINEER WATER RESOURCES|Permanent Fulltime|Department of Water Resources|Fresno County|2/5/2024|10886.0|13625.0
SENIOR ENGINEER WATER RESOURCES|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|10886.0|13625.0
SENIOR RIGHT OF WAY AGENT|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|8180.0|10164.0
SPECIAL INVESTIGATOR|Permanent Fulltime|Department of Consumer Affairs|Los Angeles County|2/5/2024|5314.0|8686.0
STAFF SERVICES ANALYST|Permanent Fulltime|Department of Parks & Recreation|Sacramento County|2/5/2024|3534.0|5744.0
TAX TECHNICIAN II, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|Sacramento County|2/5/2024|3694.0|4630.0
ACCOUNTING ADMINISTRATOR III|Permanent Fulltime|Department of Transportation|Sacramento County|2/2/2024|9022.0|10243.0
ACCOUNTING OFFICER (SPECIALIST)|Permanent Fulltime|Prison Industry Authority|Sacramento County|2/2/2024|4964.0|6213.0
ACCOUNTING OFFICER (SPECIALIST)|Permanent Fulltime|Department of Transportation|Sacramento County|2/2/2024|4964.0|6213.0
ACCOUNTING TECHNICIAN|Permanent Fulltime|Department of Consumer Affairs|Sacramento County|2/2/2024|3308.0|4145.0
ADMINISTRATIVE ASSISTANT I|Limited Term Fulltime|California Correctional Health Care Services|Imperial County|2/2/2024|4726.0|5916.0
AIR RESOURCES TECHNICIAN II|Permanent Fulltime|State Air Resources Board|United States|2/2/2024|3804.0|4764.0
AIR RESOURCES TECHNICIAN II|Permanent Fulltime|State Air Resources Board|United States|2/2/2024|3804.0|4764.0
ASSOCIATE BUDGET ANALYST|Permanent Fulltime|Department of Industrial Relations|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE CONSTRUCTION ANALYST|Permanent Fulltime|Department of General Services|Yolo County|2/2/2024|8697.0|12570.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Forestry & Fire Protection|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Limited Term Fulltime|Office of Energy Infrastructure Safety|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Secretary of State|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Developmental Services - Headquarters|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|CA State Library|Sacramento County|2/2/2024|5684.0|7329.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Motor Vehicles|Sacramento County|2/2/2024|5684.0|7329.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Public Utilities Commission|San Francisco County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Public Health|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Corrections & Rehabilitation|Los Angeles County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Toxic Substances Control|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Water Resources|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Justice|United States|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Technology|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Employment Development Department|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of State Hospitals|Los Angeles County|2/2/2024|5518.0|6907.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|California Department of Aging|Sacramento County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Industrial Relations|Alameda County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Limited Term Fulltime|Department of Transportation|Humboldt County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Limited Term Fulltime|California Civil Rights Department|United States|2/2/2024|5684.0|7329.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|CDFA - 40th District Ag Assoc|Yolo County|2/2/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Transportation|Orange County|2/2/2024|5684.0|7114.0
ASSOCIATE MANAGEMENT AUDITOR|Permanent Fulltime|Department of Resources Recycling & Recovery|Fresno County|2/2/2024|6264.0|8238.0
ASSOCIATE MANAGEMENT AUDITOR|Permanent Fulltime|State Teachers' Retirement System|Yolo County|2/2/2024|6264.0|8238.0
ASSOCIATE MANAGEMENT AUDITOR|Limited Term Fulltime|Department of Cannabis Control|Sacramento County|2/2/2024|6264.0|8238.0
ASSOCIATE OIL AND GAS ENGINEER|Permanent Fulltime|Department of Conservation|Kern County|2/2/2024|10876.0|13610.0
ASSOCIATE TAX AUDITOR, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|Sacramento County|2/2/2024|6264.0|8238.0
ASSOCIATE TREASURY PROGRAM OFFICER|Permanent Fulltime|State Treasurer's Office|Sacramento County|2/2/2024|5684.0|7114.0
ATTORNEY|Permanent Fulltime|Department of Rehabilitation|Sacramento County|2/2/2024|7737.0|11173.0
ATTORNEY|Permanent Fulltime|California Energy Commission|Sacramento County|2/2/2024|7737.0|11173.0
ATTORNEY III|Permanent Fulltime|Department of Technology|Sacramento County|2/2/2024|10536.0|13526.0
ATTORNEY III|Permanent Fulltime|Department of Technology|Sacramento County|2/2/2024|10536.0|13526.0
ATTORNEY IV|Permanent Fulltime|California Energy Commission|Sacramento County|2/2/2024|11644.0|14954.0
BUSINESS TAXES REPRESENTATIVE|Permanent Fulltime|CA Department of Tax and Fee Administration|Sacramento County|2/2/2024|4214.0|6526.0
BUSINESS TAXES SPECIALIST I, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|Fresno County|2/2/2024|7589.0|9500.0
BUSINESS TAXES SPECIALIST I, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|United States|2/2/2024|7589.0|9500.0
BUSINESS TAXES SPECIALIST II, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|Sacramento County|2/2/2024|7559.0|9937.0
C. E. A.|Non-Tenured Fulltime|Department of Food & Agriculture|Sacramento County|2/2/2024|9755.0|20144.0
C. E. A.|Non-Tenured Fulltime|Department of Conservation|Los Angeles County|2/2/2024|9755.0|20144.0
C. E. A.|Non-Tenured Fulltime|CA Department of Tax and Fee Administration|United States|2/2/2024|9755.0|11807.0
C. E. A.|Non-Tenured Fulltime|Office of Data and Innovation|Sacramento County|2/2/2024|11435.0|13623.0
CALTRANS ELECTRICIAN I|Permanent Fulltime|Department of Transportation|Fresno County|2/2/2024|5359.0|6175.0
CALTRANS ELECTRICIAN I|Permanent Fulltime|Department of Transportation|Santa Clara County|2/2/2024|5520.0|6360.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|Mendocino County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|Placer County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|Nevada County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|Nevada County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|Los Angeles County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|San Joaquin County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|Stanislaus County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|Tuolumne County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|Alpine County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|Calaveras County|2/2/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|San Bernardino County|2/2/2024|4741.0|5720.0
CALTRANS HEAVY EQUIPMENT MECHANIC|Permanent Fulltime|Department of Transportation|San Joaquin County|2/2/2024|5445.0|6276.0
CALTRANS HEAVY EQUIPMENT MECHANIC LEADWORKER|Permanent Fulltime|Department of Transportation|Sacramento County|2/2/2024|5978.0|6888.0
CALTRANS HEAVY EQUIPMENT MECHANIC LEADWORKER|Permanent Fulltime|Department of Transportation|Los Angeles County|2/2/2024|5978.0|6888.0
CALTRANS HIGHWAY MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|Sonoma County|2/2/2024|4970.0|6251.0
CALTRANS HIGHWAY MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|San Francisco County|2/2/2024|4970.0|6251.0
CALTRANS HIGHWAY MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|Los Angeles County|2/2/2024|4970.0|6251.0
CALTRANS HIGHWAY MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|Nevada County|2/2/2024|4970.0|6251.0
CALTRANS LANDSCAPE MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|Los Angeles County|2/2/2024|4970.0|6251.0
CALTRANS MAINTENANCE AREA SUPERINTENDENT|Permanent Fulltime|Department of Transportation|Yuba County|2/2/2024|6820.0|8465.0
CALTRANS MAINTENANCE MANAGER II|Permanent Fulltime|Department of Transportation|Los Angeles County|2/2/2024|8052.0|10012.0
CALTRANS MAINTENANCE SUPERVISOR|Limited Term Fulltime|Department of Transportation|Calaveras County|2/2/2024|5042.0|6564.0
CALTRANS MAINTENANCE SUPERVISOR|Permanent Fulltime|Department of Transportation|Kern County|2/2/2024|5042.0|6564.0
CAPTAIN, ADULT INSTITUTION|Limited Term Fulltime|Ca Institution for Women|San Bernardino County|2/2/2024|11819.0|13526.0
CERTIFIED NURSING ASSISTANT|Limited Term Fulltime|California Correctional Health Care Services|San Bernardino County|2/2/2024|3643.0|4562.0
CERTIFIED NURSING ASSISTANT|Permanent Fulltime|California Correctional Health Care Services|Lassen County|2/2/2024|3643.0|4562.0
CHIEF DEPUTY ADMINISTRATOR, CORRECTIONAL PROGRAM, CEA|Permanent Fulltime|Department of Corrections & Rehabilitation|Kings County|2/2/2024|12876.0|14912.0
CHIEF ENGINEER I (CORRECTIONAL FACILITY)|Limited Term Fulltime|California State Prison, Solano|Solano County|2/2/2024|7849.0|8309.0
COMMUNITY PROGRAM SPECIALIST II|Limited Term Fulltime|Department of Developmental Services - Headquarters|Sacramento County|2/2/2024|5684.0|7114.0
COOK SPECIALIST II|Permanent Intermittent|Department of Transportation|Nevada County|2/2/2024|3330.0|4907.0
CORRECTIONAL COUNSELOR II (SUPERVISOR)|Limited Term Fulltime|California Men's Colony|San Luis Obispo County|2/2/2024|9724.0|12244.0
CORRECTIONAL COUNSELOR III|Permanent Fulltime|CDCR - San Quentin State Prison|Marin County|2/2/2024|9881.0|12449.0
CORRECTIONAL PLANT SUPERVISOR, DEPT OF CORRECTIONS|Limited Term Fulltime|California Men's Colony|San Luis Obispo County|2/2/2024|7310.0|9090.0
CORRECTIONAL SERGEANT|Permanent Fulltime|Kern Valley State Prison|Kern County|2/2/2024|7715.0|10307.0
CORRECTIONAL SERGEANT|Permanent Fulltime|Avenal State Prison|Kings County|2/2/2024|43.21|10307.0
CORRECTIONAL SERGEANT|Permanent Fulltime|Sierra Conservation Center|Santa Cruz County|2/2/2024|7715.0|10307.0
CORRECTIONAL SERGEANT|Limited Term Fulltime|Avenal State Prison|Kings County|2/2/2024|43.21|10307.0
CORRECTIONAL SERGEANT|Permanent Fulltime|Sierra Conservation Center|Trinity County|2/2/2024|7715.0|10307.0
CORRECTIONAL SERGEANT|Limited Term Fulltime|Kern Valley State Prison|Kern County|2/2/2024|7715.0|10307.0
